universe,signal_ts,trading_day,side,limit_price,e2_limit,stop45,tp1,tp2,filled,cancel_reason,fill_ts,A_pnl,A_e2,A_exits,A_xts,B_pnl,B_e2,B_exits,B_xts,C_pnl,C_e2,C_exits,C_xts,D_pnl,D_e2,D_exits,D_xts
p2,2021-01-18T15:30:00.000Z,2021-01-18,sell,15802.5,15818.13,15833.75,15761,15663,false,cutoff_1600_unfilled,,,,,,,,,,,,,,,,,
p1,2021-01-18T23:15:00.000Z,2021-01-19,buy,15745.5,15730.13,15714.75,15769.75,15791.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-18T23:15:00.000Z,2021-01-19,sell,15848.75,15868.38,15888,15782.25,15776.75,true,,2021-01-19T01:36:19.000Z,-397.50,0,S:10@15888.50,2021-01-19T03:26:33.000Z,-299.38,1,E2:5@15868.38|S:10@15888.50,2021-01-19T03:26:33.000Z,-299.38,1,E2:5@15868.38|S:10@15888.50,2021-01-19T03:26:33.000Z,-397.50,0,S:10@15888.50,2021-01-19T03:26:33.000Z
p4,2021-01-18T23:15:00.000Z,2021-01-19,sell,15852.5,15877.25,15902,15781.25,15773.5,true,,2021-01-19T01:38:37.000Z,-500.00,0,S:10@15902.50,2021-01-19T03:26:46.000Z,-376.25,1,E2:5@15877.25|S:10@15902.50,2021-01-19T03:26:46.000Z,-376.25,1,E2:5@15877.25|S:10@15902.50,2021-01-19T03:26:46.000Z,-500.00,0,S:10@15902.50,2021-01-19T03:26:46.000Z
p5,2021-01-18T23:15:00.000Z,2021-01-19,buy,15753.5,15738.00,15722.5,15786.75,15788,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-19T03:30:00.000Z,2021-01-19,sell,15932.75,15941.25,15949.75,15897.25,15889,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-19T05:45:00.000Z,2021-01-19,buy,15879.5,15874.25,15869,15890,15893,true,,2021-01-19T05:48:59.000Z,81.00,0,T1:4@15890.00|T2:3@15893.00|L:3@15879.00,2021-01-19T06:47:56.000Z,99.38,1,E2:5@15874.25|T1:4@15890.00|T2:3@15893.00|L:3@15876.38,2021-01-19T08:35:36.000Z,75.75,1,E2:5@15874.25|T1:4@15890.00|T2:3@15893.00|S:3@15868.50,2021-01-19T12:33:21.000Z,49.50,0,T1:4@15890.00|T2:3@15893.00|S:3@15868.50,2021-01-19T12:33:21.000Z
p1,2021-01-19T06:15:00.000Z,2021-01-19,sell,15886,15891.75,15897.5,15877.25,15876.5,true,,2021-01-19T06:24:42.000Z,32.00,0,T1:4@15877.25|L:6@15886.50,2021-01-19T06:53:27.000Z,43.50,1,E2:5@15891.75|T1:4@15877.25|L:6@15889.38,2021-01-19T07:28:40.000Z,-8.25,1,E2:5@15891.75|T1:4@15877.25|S:6@15898.00,2021-01-19T07:33:46.000Z,-37.00,0,T1:4@15877.25|S:6@15898.00,2021-01-19T07:33:46.000Z
p3,2021-01-19T06:45:00.000Z,2021-01-19,sell,15901.5,15911.88,15922.25,15882,15874.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-19T06:45:00.000Z,2021-01-19,buy,15866.25,15857.50,15848.75,15884.5,15887,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-19T07:00:00.000Z,2021-01-19,sell,15920,15932.50,15945,15878.75,15874.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-19T07:45:00.000Z,2021-01-19,buy,15865.25,15848.75,15832.25,15907.25,15910.75,true,,2021-01-19T12:46:01.000Z,-335.00,0,S:10@15831.75,2021-01-19T14:54:59.000Z,-252.50,1,E2:5@15848.75|S:10@15831.75,2021-01-19T14:54:59.000Z,-252.50,1,E2:5@15848.75|S:10@15831.75,2021-01-19T14:54:59.000Z,-335.00,0,S:10@15831.75,2021-01-19T14:54:59.000Z
p4,2021-01-19T09:00:00.000Z,2021-01-19,buy,15853,15838.13,15823.25,15888,15890.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-19T09:00:00.000Z,2021-01-19,buy,15846.5,15835.25,15824,15882.25,15882.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-19T09:30:00.000Z,2021-01-19,sell,15900.75,15908.50,15916.25,15871.25,15859.25,true,,2021-01-19T11:13:42.000Z,241.00,0,T1:4@15871.25|T2:3@15859.25|L:3@15901.25,2021-01-19T17:37:46.000Z,141.50,0,T1:2@15871.25|T2:2@15859.25|L:1@15901.25,2021-01-19T17:37:46.000Z,126.00,0,T1:2@15871.25|T2:2@15859.25|S:1@15916.75,2021-01-19T17:57:42.000Z,194.50,0,T1:4@15871.25|T2:3@15859.25|S:3@15916.75,2021-01-19T17:57:42.000Z
p4,2021-01-19T11:00:00.000Z,2021-01-19,buy,15828.25,15803.25,15778.25,15926,15958.75,true,,2021-01-19T14:55:50.000Z,1151.50,0,T1:4@15926.00|T2:3@15958.75|F:3@15951.25,2021-01-19T21:00:00.000Z,579.50,0,T1:2@15926.00|T2:2@15958.75|F:1@15951.25,2021-01-19T21:00:00.000Z,579.50,0,T1:2@15926.00|T2:2@15958.75|F:1@15951.25,2021-01-19T21:00:00.000Z,1151.50,0,T1:4@15926.00|T2:3@15958.75|F:3@15951.25,2021-01-19T21:00:00.000Z
real,2021-01-19T12:45:00.000Z,2021-01-19,sell,15886,15898.63,15911.25,15866,15846.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p1,2021-01-19T14:45:00.000Z,2021-01-19,buy,15779.75,15756.38,15733,15876.5,15879,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p4,2021-01-19T14:45:00.000Z,2021-01-19,sell,15917.5,15936.13,15954.75,15820.5,15818,true,,2021-01-19T17:57:42.000Z,-377.50,0,S:10@15955.25,2021-01-19T18:51:19.000Z,-284.38,1,E2:5@15936.13|S:10@15955.25,2021-01-19T18:51:19.000Z,-284.38,1,E2:5@15936.13|S:10@15955.25,2021-01-19T18:51:19.000Z,-377.50,0,S:10@15955.25,2021-01-19T18:51:19.000Z
p1,2021-01-19T15:00:00.000Z,2021-01-19,sell,15935.5,15959.75,15984,15848,15848,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p4,2021-01-19T15:45:00.000Z,2021-01-19,buy,15780.75,15758.63,15736.5,15874.5,15878.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-19T16:30:00.000Z,2021-01-19,sell,15874,15889.00,15904,15826.25,15824.5,true,,2021-01-19T16:53:03.000Z,-305.00,0,S:10@15904.50,2021-01-19T17:44:38.000Z,-230.00,1,E2:5@15889.00|S:10@15904.50,2021-01-19T17:44:38.000Z,-230.00,1,E2:5@15889.00|S:10@15904.50,2021-01-19T17:44:38.000Z,-305.00,0,S:10@15904.50,2021-01-19T17:44:38.000Z
real,2021-01-19T17:15:00.000Z,2021-01-19,buy,15844.75,15828.13,15811.5,15883.5,15893.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-19T21:00:00.000Z,2021-01-19,buy,15894.75,15873.00,15851.25,15952.5,15965.5,false,post_cutoff_emission,,,,,,,,,,,,,,,,,
real,2021-01-19T21:45:00.000Z,2021-01-19,buy,15961.75,15944.50,15927.25,15987.25,15987.25,false,post_cutoff_emission,,,,,,,,,,,,,,,,,
p5,2021-01-20T01:45:00.000Z,2021-01-20,buy,15962.5,15950.75,15939,16001.75,16003.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p4,2021-01-20T08:30:00.000Z,2021-01-20,buy,15959.75,15934.25,15908.75,15998,16046.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p4,2021-01-20T08:45:00.000Z,2021-01-20,buy,16045,16034.13,16023.25,16059.5,16061.25,true,,2021-01-20T08:47:51.000Z,-222.50,0,S:10@16022.75,2021-01-20T09:14:45.000Z,-168.13,1,E2:5@16034.13|S:10@16022.75,2021-01-20T09:14:45.000Z,-168.13,1,E2:5@16034.13|S:10@16022.75,2021-01-20T09:14:45.000Z,-222.50,0,S:10@16022.75,2021-01-20T09:14:45.000Z
p2,2021-01-20T09:30:00.000Z,2021-01-20,sell,16050.5,16059.75,16069,16030.25,16020.5,true,,2021-01-20T10:07:10.000Z,-190.00,0,S:10@16069.50,2021-01-20T12:55:36.000Z,-143.75,1,E2:5@16059.75|S:10@16069.50,2021-01-20T12:55:36.000Z,-143.75,1,E2:5@16059.75|S:10@16069.50,2021-01-20T12:55:36.000Z,-190.00,0,S:10@16069.50,2021-01-20T12:55:36.000Z
p5,2021-01-20T09:30:00.000Z,2021-01-20,buy,15976,15951.13,15926.25,16035.75,16040.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-20T11:15:00.000Z,2021-01-20,sell,16101.25,16115.38,16129.5,16079,16056.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-20T12:00:00.000Z,2021-01-20,sell,16090.75,16100.50,16110.25,16041.5,16034.75,true,,2021-01-20T14:00:57.000Z,-200.00,0,S:10@16110.75,2021-01-20T14:30:04.000Z,-151.25,1,E2:5@16100.50|S:10@16110.75,2021-01-20T14:30:04.000Z,-151.25,1,E2:5@16100.50|S:10@16110.75,2021-01-20T14:30:04.000Z,-200.00,0,S:10@16110.75,2021-01-20T14:30:04.000Z
p1,2021-01-20T12:45:00.000Z,2021-01-20,sell,16080.25,16092.88,16105.5,16060.25,16040.75,true,,2021-01-20T13:15:51.000Z,-257.50,0,S:10@16106.00,2021-01-20T14:30:00.000Z,-194.38,1,E2:5@16092.88|S:10@16106.00,2021-01-20T14:30:00.000Z,-194.38,1,E2:5@16092.88|S:10@16106.00,2021-01-20T14:30:00.000Z,-257.50,0,S:10@16106.00,2021-01-20T14:30:00.000Z
p1,2021-01-20T13:00:00.000Z,2021-01-20,sell,16124.75,16142.75,16160.75,16065,16063.5,true,,2021-01-20T14:35:28.000Z,-365.00,0,S:10@16161.25,2021-01-20T14:50:12.000Z,-275.00,1,E2:5@16142.75|S:10@16161.25,2021-01-20T14:50:12.000Z,-275.00,1,E2:5@16142.75|S:10@16161.25,2021-01-20T14:50:12.000Z,-365.00,0,S:10@16161.25,2021-01-20T14:50:12.000Z
p3,2021-01-20T14:45:00.000Z,2021-01-20,sell,16215,16238.50,16262,16146.5,16123.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-20T14:45:00.000Z,2021-01-20,buy,16113.75,16099.38,16085,16155.75,16178.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-20T15:30:00.000Z,2021-01-20,sell,16212.75,16233.13,16253.5,16186.25,16185,true,,2021-01-20T15:35:14.000Z,187.75,0,T1:4@16186.25|T2:3@16185.00|L:3@16213.25,2021-01-20T16:20:23.000Z,108.00,0,T1:2@16186.25|T2:2@16185.00|L:1@16213.25,2021-01-20T16:20:23.000Z,67.25,0,T1:2@16186.25|T2:2@16185.00|S:1@16254.00,2021-01-20T18:27:06.000Z,65.50,0,T1:4@16186.25|T2:3@16185.00|S:3@16254.00,2021-01-20T18:27:06.000Z
p5,2021-01-20T19:45:00.000Z,2021-01-20,buy,16276.75,16269.13,16261.5,16280,16280.5,true,,2021-01-20T19:45:13.000Z,22.75,0,T1:4@16280.00|T2:3@16280.50|L:3@16276.25,2021-01-20T19:51:32.000Z,13.50,0,T1:2@16280.00|T2:2@16280.50|L:1@16276.25,2021-01-20T19:51:32.000Z,-1.75,0,T1:2@16280.00|T2:2@16280.50|S:1@16261.00,2021-01-20T20:56:19.000Z,-23.00,0,T1:4@16280.00|T2:3@16280.50|S:3@16261.00,2021-01-20T20:56:19.000Z
p1,2021-01-20T20:30:00.000Z,2021-01-20,buy,16257,16239.13,16221.25,16295.25,16296.25,true,,2021-01-20T20:59:58.000Z,-52.50,0,F:10@16251.75,2021-01-20T21:00:00.000Z,-26.25,0,F:5@16251.75,2021-01-20T21:00:00.000Z,-26.25,0,F:5@16251.75,2021-01-20T21:00:00.000Z,-52.50,0,F:10@16251.75,2021-01-20T21:00:00.000Z
real,2021-01-21T06:30:00.000Z,2021-01-21,sell,16346.5,16354.88,16363.25,16323.25,16314,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-21T07:00:00.000Z,2021-01-21,buy,16308.5,16301.00,16293.5,16331.75,16341.5,true,,2021-01-21T08:19:41.000Z,90.00,0,T1:4@16331.75|L:6@16308.00,2021-01-21T13:46:20.000Z,45.00,0,T1:2@16331.75|L:3@16308.00,2021-01-21T13:46:20.000Z,0.00,0,T1:2@16331.75|S:3@16293.00,2021-01-21T13:51:43.000Z,0.00,0,T1:4@16331.75|S:6@16293.00,2021-01-21T13:51:43.000Z
real,2021-01-21T07:30:00.000Z,2021-01-21,sell,16323.75,16328.88,16334,16320.25,16314,true,,2021-01-21T07:36:09.000Z,-107.50,0,S:10@16334.50,2021-01-21T07:51:27.000Z,-81.88,1,E2:5@16328.88|S:10@16334.50,2021-01-21T07:51:27.000Z,-81.88,1,E2:5@16328.88|S:10@16334.50,2021-01-21T07:51:27.000Z,-107.50,0,S:10@16334.50,2021-01-21T07:51:27.000Z
p1,2021-01-21T08:15:00.000Z,2021-01-21,buy,16278.5,16265.75,16253,16329.25,16330.5,true,,2021-01-21T13:53:54.000Z,-260.00,0,S:10@16252.50,2021-01-21T14:41:58.000Z,-196.25,1,E2:5@16265.75|S:10@16252.50,2021-01-21T14:41:58.000Z,-196.25,1,E2:5@16265.75|S:10@16252.50,2021-01-21T14:41:58.000Z,-260.00,0,S:10@16252.50,2021-01-21T14:41:58.000Z
real,2021-01-21T08:30:00.000Z,2021-01-21,sell,16327,16335.75,16344.5,16302,16273,true,,2021-01-21T09:02:16.000Z,260.50,0,T1:4@16302.00|T2:3@16273.00|L:3@16327.50,2021-01-21T15:12:18.000Z,157.50,0,T1:2@16302.00|T2:2@16273.00|L:1@16327.50,2021-01-21T15:12:18.000Z,140.00,0,T1:2@16302.00|T2:2@16273.00|S:1@16345.00,2021-01-21T15:46:28.000Z,208.00,0,T1:4@16302.00|T2:3@16273.00|S:3@16345.00,2021-01-21T15:46:28.000Z
real,2021-01-21T09:00:00.000Z,2021-01-21,sell,16317.5,16321.75,16326,16310.5,16301.75,true,,2021-01-21T09:00:03.000Z,-90.00,0,S:10@16326.50,2021-01-21T09:02:06.000Z,-68.75,1,E2:5@16321.75|S:10@16326.50,2021-01-21T09:02:06.000Z,-68.75,1,E2:5@16321.75|S:10@16326.50,2021-01-21T09:02:06.000Z,-90.00,0,S:10@16326.50,2021-01-21T09:02:06.000Z
p3,2021-01-21T09:00:00.000Z,2021-01-21,buy,16305,16289.38,16273.75,16323.25,16329,true,,2021-01-21T10:42:36.000Z,143.50,0,T1:4@16323.25|T2:3@16329.00|L:3@16304.50,2021-01-21T13:46:23.000Z,84.00,0,T1:2@16323.25|T2:2@16329.00|L:1@16304.50,2021-01-21T13:46:23.000Z,52.75,0,T1:2@16323.25|T2:2@16329.00|S:1@16273.25,2021-01-21T13:54:15.000Z,49.75,0,T1:4@16323.25|T2:3@16329.00|S:3@16273.25,2021-01-21T13:54:15.000Z
p1,2021-01-21T13:30:00.000Z,2021-01-21,buy,16306.5,16289.00,16271.5,16331.5,16337.5,true,,2021-01-21T13:46:23.000Z,-355.00,0,S:10@16271.00,2021-01-21T14:33:40.000Z,-267.50,1,E2:5@16289.00|S:10@16271.00,2021-01-21T14:33:40.000Z,-267.50,1,E2:5@16289.00|S:10@16271.00,2021-01-21T14:33:40.000Z,-355.00,0,S:10@16271.00,2021-01-21T14:33:40.000Z
p2,2021-01-21T13:30:00.000Z,2021-01-21,sell,16335.75,16345.88,16356,16317,16295,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
real,2021-01-21T14:00:00.000Z,2021-01-21,sell,16312.25,16325.50,16338.75,16272,16243.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p4,2021-01-21T14:00:00.000Z,2021-01-21,buy,16240.5,16224.63,16208.75,16297,16306.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-21T14:00:00.000Z,2021-01-21,buy,16270,16261.00,16252,16289.25,16304.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-21T14:15:00.000Z,2021-01-21,sell,16312.25,16325.25,16338.25,16294.75,16294,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-21T14:30:00.000Z,2021-01-21,buy,16295.5,16287.63,16279.75,16307.25,16311.25,true,,2021-01-21T14:30:38.000Z,-162.50,0,S:10@16279.25,2021-01-21T14:32:51.000Z,-123.13,1,E2:5@16287.63|S:10@16279.25,2021-01-21T14:32:51.000Z,-123.13,1,E2:5@16287.63|S:10@16279.25,2021-01-21T14:32:51.000Z,-162.50,0,S:10@16279.25,2021-01-21T14:32:51.000Z
p3,2021-01-21T14:45:00.000Z,2021-01-21,sell,16308.75,16332.25,16355.75,16267.25,16264.75,true,,2021-01-21T15:10:22.000Z,-475.00,0,S:10@16356.25,2021-01-21T15:56:37.000Z,-357.50,1,E2:5@16332.25|S:10@16356.25,2021-01-21T15:56:37.000Z,-357.50,1,E2:5@16332.25|S:10@16356.25,2021-01-21T15:56:37.000Z,-475.00,0,S:10@16356.25,2021-01-21T15:56:37.000Z
p1,2021-01-21T15:00:00.000Z,2021-01-21,sell,16327.5,16348.38,16369.25,16307.75,16274.5,true,,2021-01-21T15:12:18.000Z,76.00,0,T1:4@16307.75|L:6@16328.00,2021-01-21T18:00:00.000Z,117.75,1,E2:5@16348.38|T1:4@16307.75|L:6@16338.44,2021-01-21T18:08:49.000Z,-70.13,1,E2:5@16348.38|T1:4@16307.75|S:6@16369.75,2021-01-21T19:56:56.000Z,-174.50,0,T1:4@16307.75|S:6@16369.75,2021-01-21T19:56:56.000Z
p2,2021-01-21T15:00:00.000Z,2021-01-21,buy,16204.25,16180.75,16157.25,16290,16317,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
real,2021-01-21T15:15:00.000Z,2021-01-21,buy,16288.25,16266.88,16245.5,16293.75,16338.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-21T16:00:00.000Z,2021-01-21,sell,16454.75,16481.38,16508,16330.5,16328.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-21T17:15:00.000Z,2021-01-21,sell,16345.5,16360.88,16376.25,16282,16280.5,true,,2021-01-21T18:35:13.000Z,-312.50,0,S:10@16376.75,2021-01-21T20:37:33.000Z,-235.63,1,E2:5@16360.88|S:10@16376.75,2021-01-21T20:37:33.000Z,-235.63,1,E2:5@16360.88|S:10@16376.75,2021-01-21T20:37:33.000Z,-312.50,0,S:10@16376.75,2021-01-21T20:37:33.000Z
p5,2021-01-21T21:15:00.000Z,2021-01-21,sell,16371.25,16391.25,16411.25,16364,16360.25,false,post_cutoff_emission,,,,,,,,,,,,,,,,,
p5,2021-01-21T21:45:00.000Z,2021-01-21,buy,16361.75,16353.13,16344.5,16371.5,16394.5,false,post_cutoff_emission,,,,,,,,,,,,,,,,,
real,2021-01-21T23:15:00.000Z,2021-01-22,sell,16370.25,16382.50,16394.75,16344.75,16338,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-22T00:45:00.000Z,2021-01-22,sell,16374,16389.38,16404.75,16348.75,16335,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p1,2021-01-22T01:15:00.000Z,2021-01-22,sell,16354.25,16361.50,16368.75,16334.75,16331.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p1,2021-01-22T02:00:00.000Z,2021-01-22,sell,16368,16382.88,16397.75,16327.5,16324.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-22T06:45:00.000Z,2021-01-22,buy,16307,16300.25,16293.5,16326,16341.25,true,,2021-01-22T08:01:32.000Z,-140.00,0,S:10@16293.00,2021-01-22T08:21:44.000Z,-106.25,1,E2:5@16300.25|S:10@16293.00,2021-01-22T08:21:44.000Z,-106.25,1,E2:5@16300.25|S:10@16293.00,2021-01-22T08:21:44.000Z,-140.00,0,S:10@16293.00,2021-01-22T08:21:44.000Z
p4,2021-01-22T07:15:00.000Z,2021-01-22,sell,16326.25,16333.88,16341.5,16308.75,16286,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-22T07:30:00.000Z,2021-01-22,buy,16278.75,16264.88,16251,16316.25,16319,true,,2021-01-22T09:45:24.000Z,399.00,0,T1:4@16316.25|T2:3@16319.00|F:3@16321.50,2021-01-22T21:00:00.000Z,198.25,0,T1:2@16316.25|T2:2@16319.00|F:1@16321.50,2021-01-22T21:00:00.000Z,198.25,0,T1:2@16316.25|T2:2@16319.00|F:1@16321.50,2021-01-22T21:00:00.000Z,399.00,0,T1:4@16316.25|T2:3@16319.00|F:3@16321.50,2021-01-22T21:00:00.000Z
p4,2021-01-22T08:15:00.000Z,2021-01-22,sell,16330.75,16337.00,16343.25,16312.75,16307.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p4,2021-01-22T08:30:00.000Z,2021-01-22,buy,16264.75,16251.38,16238,16299,16304,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-22T09:30:00.000Z,2021-01-22,sell,16311.25,16318.50,16325.75,16298.5,16296,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-22T11:45:00.000Z,2021-01-22,sell,16321.75,16337.88,16354,16270.5,16258.75,true,,2021-01-22T14:30:33.000Z,-327.50,0,S:10@16354.50,2021-01-22T14:51:29.000Z,-246.88,1,E2:5@16337.88|S:10@16354.50,2021-01-22T14:51:29.000Z,-246.88,1,E2:5@16337.88|S:10@16354.50,2021-01-22T14:51:29.000Z,-327.50,0,S:10@16354.50,2021-01-22T14:51:29.000Z
p3,2021-01-22T12:45:00.000Z,2021-01-22,buy,16269.5,16261.00,16252.5,16279.75,16281,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-22T13:30:00.000Z,2021-01-22,buy,16264.25,16254.38,16244.5,16290.5,16291.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p1,2021-01-22T13:45:00.000Z,2021-01-22,sell,16303.5,16312.25,16321,16283.75,16277,true,,2021-01-22T14:20:09.000Z,-180.00,0,S:10@16321.50,2021-01-22T14:30:33.000Z,-136.25,1,E2:5@16312.25|S:10@16321.50,2021-01-22T14:30:33.000Z,-136.25,1,E2:5@16312.25|S:10@16321.50,2021-01-22T14:30:33.000Z,-180.00,0,S:10@16321.50,2021-01-22T14:30:33.000Z
real,2021-01-22T14:30:00.000Z,2021-01-22,buy,16290,16276.25,16262.5,16316.25,16322.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-22T14:45:00.000Z,2021-01-22,buy,16266.25,16250.13,16234,16325.25,16329.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-22T15:00:00.000Z,2021-01-22,buy,16296.5,16279.25,16262,16363.25,16364.75,true,,2021-01-22T15:38:47.000Z,417.00,0,T1:4@16363.25|F:6@16321.50,2021-01-22T21:00:00.000Z,208.50,0,T1:2@16363.25|F:3@16321.50,2021-01-22T21:00:00.000Z,208.50,0,T1:2@16363.25|F:3@16321.50,2021-01-22T21:00:00.000Z,417.00,0,T1:4@16363.25|F:6@16321.50,2021-01-22T21:00:00.000Z
p4,2021-01-22T15:15:00.000Z,2021-01-22,buy,16282,16258.13,16234.25,16343.5,16346.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p5,2021-01-22T18:15:00.000Z,2021-01-22,buy,16251,16228.25,16205.5,16337,16337.5,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p2,2021-01-22T18:45:00.000Z,2021-01-22,sell,16371,16387.50,16404,16329.75,16324.25,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
real,2021-01-22T21:00:00.000Z,2021-01-22,sell,16349.75,16359.00,16368.25,16320.5,16319,false,post_cutoff_emission,,,,,,,,,,,,,,,,,
p4,2021-01-22T21:00:00.000Z,2021-01-22,buy,16297.75,16289.50,16281.25,16324.75,16326.75,false,post_cutoff_emission,,,,,,,,,,,,,,,,,
real,2021-01-24T23:15:00.000Z,2021-01-25,buy,16333.75,16319.75,16305.75,16360.25,16363.75,false,close_beyond_leg_terminus,,,,,,,,,,,,,,,,,
p3,2021-01-25T06:30:00.000Z,2021-01-25,sell,16438.5,16446.25,16454,16420.75,16413,true,,2021-01-25T07:53:46.000Z,-160.00,0,S:10@16454.50,2021-01-25T09:07:18.000Z,-121.25,1,E2:5@16446.25|S:10@16454.50,2021-01-25T09:07:18.000Z,-121.25,1,E2:5@16446.25|S:10@16454.50,2021-01-25T09:07:18.000Z,-160.00,0,S:10@16454.50,2021-01-25T09:07:18.000Z
